Mean score for each of 10 streams and 4 classificators:
  SEA    AWE    WAE    AUE
-----  -----  -----  -----
0.846  0.846  0.845  0.845
0.841  0.841  0.841  0.841
0.796  0.796  0.795  0.796
0.853  0.853  0.853  0.853
0.811  0.810  0.810  0.811
0.847  0.847  0.847  0.847
0.820  0.820  0.818  0.819
0.834  0.834  0.834  0.835
0.874  0.873  0.872  0.873
0.862  0.861  0.861  0.861
 t-statistic:
         SEA      AWE     WAE      AUE
---  -------  -------  ------  -------
SEA     0.00    11.84  100.03   -16.67
AWE   -11.84     0.00  129.34   -48.85
WAE  -100.03  -129.34    0.00  -151.04
AUE    16.67    48.85  151.04     0.00
 p-value:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA   1.00   0.00   0.00   0.00
AWE   0.00   1.00   0.00   0.00
WAE   0.00   0.00   1.00   0.00
AUE   0.00   0.00   0.00   1.00
 Advantage:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      0
AWE      0      0      1      0
WAE      0      0      0      0
AUE      1      1      1      0
 Statistical significance (alpha=0,05):
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      1
AWE      1      0      1      1
WAE      1      1      0      1
AUE      1      1      1      0
 Statistically significantly better:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      0
AWE      0      0      1      0
WAE      0      0      0      0
AUE      1      1      1      0
