Mean score for each of 10 streams and 4 classificators:
  SEA    AWE    WAE    AUE
-----  -----  -----  -----
0.882  0.884  0.883  0.882
0.859  0.860  0.859  0.859
0.827  0.827  0.828  0.827
0.895  0.896  0.895  0.895
0.836  0.836  0.835  0.835
0.848  0.849  0.848  0.849
0.853  0.852  0.852  0.851
0.906  0.906  0.905  0.903
0.914  0.913  0.913  0.912
0.895  0.896  0.895  0.894
 t-statistic:
         SEA      AWE     WAE      AUE
---  -------  -------  ------  -------
SEA     0.00    57.58  157.65   -32.00
AWE   -57.58     0.00  114.19  -113.94
WAE  -157.65  -114.19    0.00  -290.86
AUE    32.00   113.94  290.86     0.00
 p-value:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA   1.00   0.00   0.00   0.00
AWE   0.00   1.00   0.00   0.00
WAE   0.00   0.00   1.00   0.00
AUE   0.00   0.00   0.00   1.00
 Advantage:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      0
AWE      0      0      1      0
WAE      0      0      0      0
AUE      1      1      1      0
 Statistical significance (alpha=0,05):
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      1
AWE      1      0      1      1
WAE      1      1      0      1
AUE      1      1      1      0
 Statistically significantly better:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      0
AWE      0      0      1      0
WAE      0      0      0      0
AUE      1      1      1      0
