Mean score for each of 10 streams and 4 classificators:
  SEA    AWE    WAE    AUE
-----  -----  -----  -----
0.876  0.878  0.878  0.877
0.864  0.864  0.864  0.864
0.828  0.827  0.828  0.827
0.888  0.888  0.888  0.889
0.841  0.840  0.841  0.841
0.871  0.871  0.872  0.871
0.851  0.851  0.851  0.852
0.877  0.877  0.877  0.878
0.908  0.909  0.909  0.908
0.895  0.896  0.895  0.895
 t-statistic:
         SEA      AWE     WAE      AUE
---  -------  -------  ------  -------
SEA     0.00    42.19  155.15   -34.09
AWE   -42.19     0.00  193.35  -123.82
WAE  -155.15  -193.35    0.00  -294.84
AUE    34.09   123.82  294.84     0.00
 p-value:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA   1.00   0.00   0.00   0.00
AWE   0.00   1.00   0.00   0.00
WAE   0.00   0.00   1.00   0.00
AUE   0.00   0.00   0.00   1.00
 Advantage:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      0
AWE      0      0      1      0
WAE      0      0      0      0
AUE      1      1      1      0
 Statistical significance (alpha=0,05):
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      1
AWE      1      0      1      1
WAE      1      1      0      1
AUE      1      1      1      0
 Statistically significantly better:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      0
AWE      0      0      1      0
WAE      0      0      0      0
AUE      1      1      1      0
