Mean score for each of 10 streams and 4 classificators:
  SEA    AWE    WAE    AUE
-----  -----  -----  -----
0.877  0.877  0.878  0.878
0.851  0.852  0.852  0.853
0.817  0.817  0.817  0.818
0.885  0.885  0.886  0.886
0.824  0.824  0.825  0.825
0.844  0.843  0.844  0.844
0.844  0.844  0.844  0.845
0.890  0.891  0.891  0.890
0.901  0.901  0.901  0.901
0.883  0.884  0.883  0.884
 t-statistic:
         SEA     AWE     WAE      AUE
---  -------  ------  ------  -------
SEA     0.00   61.23  161.85   -22.26
AWE   -61.23    0.00   91.03   -92.37
WAE  -161.85  -91.03    0.00  -221.67
AUE    22.26   92.37  221.67     0.00
 p-value:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA   1.00   0.00   0.00   0.00
AWE   0.00   1.00   0.00   0.00
WAE   0.00   0.00   1.00   0.00
AUE   0.00   0.00   0.00   1.00
 Advantage:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      0
AWE      0      0      1      0
WAE      0      0      0      0
AUE      1      1      1      0
 Statistical significance (alpha=0,05):
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      1
AWE      1      0      1      1
WAE      1      1      0      1
AUE      1      1      1      0
 Statistically significantly better:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      0
AWE      0      0      1      0
WAE      0      0      0      0
AUE      1      1      1      0
