Mean score for each of 10 streams and 4 classificators:
  SEA    AWE    WAE    AUE
-----  -----  -----  -----
0.839  0.840  0.839  0.839
0.837  0.837  0.838  0.837
0.791  0.790  0.790  0.789
0.845  0.845  0.845  0.846
0.804  0.804  0.804  0.805
0.846  0.846  0.845  0.845
0.813  0.814  0.813  0.814
0.823  0.823  0.822  0.825
0.866  0.866  0.866  0.866
0.856  0.856  0.856  0.856
 t-statistic:
         SEA      AWE     WAE      AUE
---  -------  -------  ------  -------
SEA     0.00     5.74  134.47   -18.73
AWE    -5.74     0.00  125.15   -25.11
WAE  -134.47  -125.15    0.00  -190.64
AUE    18.73    25.11  190.64     0.00
 p-value:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA   1.00   0.00   0.00   0.00
AWE   0.00   1.00   0.00   0.00
WAE   0.00   0.00   1.00   0.00
AUE   0.00   0.00   0.00   1.00
 Advantage:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      0
AWE      0      0      1      0
WAE      0      0      0      0
AUE      1      1      1      0
 Statistical significance (alpha=0,05):
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      1
AWE      1      0      1      1
WAE      1      1      0      1
AUE      1      1      1      0
 Statistically significantly better:
       SEA    AWE    WAE    AUE
---  -----  -----  -----  -----
SEA      0      1      1      0
AWE      0      0      1      0
WAE      0      0      0      0
AUE      1      1      1      0
